
Point Local_N Local_E h H Method
HAVSTEIN 0.000 0.000 171.046 131.414 Trig
HMV1 794.169 1015.547 110.338 70.766 Trig
HMV1EX 798.003 1003.576 110.871 71.306 Trig
MOHOLT 296.655 2688.395 170.838 131.318 Trig
ST4 2831.165 2797.658 151.858 112.424 Niv
STUBBAN -1155.476 1793.451 122.725 83.119 Trig
TORSHAUG 484.889 -1959.431 283.070 243.405 Trig
TP342 2285.391 109.672 44.618 5.073 Trig
UTSIKTEN 1594.833 -331.257 149.094 109.509 Trig
NTH-S2 1218.471 1292.777 129.842 90.297 Trig
9504 1554.411 1368.713 82.840 43.305 Niv
9507 849.426 1700.181 86.240 46.687 Niv
OPPL -2650.898 -10716.440 142.935 102.880 Niv
BASV -8478.630 -7872.056 43.940 3.820 Niv
FLAK 4332.912 -9321.267 67.708 27.930 Niv
SJET -6612.391 78.288 203.780 163.910 Niv
RANH 2842.167 6858.899 59.958 20.640 Niv
LADE 4553.828 2370.757 108.827 69.490 Niv
HOVR 4393.398 -2040.090 83.958 44.410 Niv
GSAX 3401.058 10542.847 111.998 72.850 Niv
LERK 942.369 1437.479 87.616 48.061 Niv
